о_,0.023776975486855256
е_,0.018094265430246722
и_,0.017515066136015466
а_,0.017018325746451783
_в,0.01679677953270638
_п,0.01597417744758892
_н,0.015951327389668993
_с,0.015743689906831372
то,0.014708482934980657
ь_,0.012016150023545495
_и,0.011689294847212591
_о,0.011515435710865302
я_,0.011462781229571551
не,0.010119595216191352
на,0.010013292772824724
но,0.009631796153639816
ст,0.009375478112624956
по,0.009072466474991108
_т,0.008843965895791814
ко,0.00858168697010219
_к,0.008104816196121054
_д,0.00809488138832978
ов,0.007772993615892513
го,0.007556414806042747
ни,0.007509721209423761
м_,0.00742328838163968
ра,0.007286188034120104
ал,0.00709543972452765
ро,0.007080537512840739
л_,0.006975228550253238
_б,0.006879854395457011
у_,0.006844089087408426
ка,0.006838128202733662
от,0.006784480240660784
пр,0.006667249508723755
ть,0.006596712373405712
он,0.006559953584577999
ен,0.006446696775757479
_ч,0.006192365696300874
во,0.006171502599939199
й_,0.005972806444113726
т_,0.005834712615815022
те,0.005828751731140258
_м,0.005817823442569856
ер,0.005802921230882946
ол,0.005760201557380469
та,0.0056747622103755155
ет,0.005667807844921624
ос,0.00566582088336337
ва,0.005660853479467732
в_,0.005626081652198275
ак,0.005542629266751576
ел,0.005519779208831647
ла,0.005413476765465018
ли,0.0053320113415765745
ло,0.0052892916680740976
ри,0.005210806686523036
да,0.005148217397438011
ом,0.005115432531726809
ре,0.005080660704457351
_р,0.004966410414857704
ве,0.004953495164729048
ил,0.004870042779282349
од,0.004867062336944967
ор,0.004864081894607585
к_,0.004804473047859943
ас,0.004653463969432584
ль,0.004638561757745673
_у,0.004583920314893668
за,0.0044845722369809314
_з,0.004428937313349798
же,0.004398139409196851
ы_,0.004387211120626449
ат,0.004319654427645789
ес,0.0043067391775171325
н_,0.004275941273364184
ит,0.004222293311291306
ем,0.004211365022720906
де,0.0042063976188252685
чт,0.004172619272334938
_е,0.00412691915649508
ог,0.004079232079096965
ме,0.0039043794619705494
че,0.0038288749227568695
бы,0.003706676786924203
с_,0.0036967419791329296
ле,0.0036768723635503824
мо,0.0036748854019921277
вс,0.0036281918053731412
до,0.0036073287090114666
ся,0.0035765308048585184
се,0.0034891044962953102
ск,0.003464267476817126
об,0.003434463053443305
аз,0.0033837955337078095
ам,0.0033837955337078095
ег,0.0032884213789115824
ти,0.0032457017054091054
ви,0.00313840578126335
ан,0.003111581800226911
сь,0.0030638947228287974
ин,0.003019188087768066
тр,0.0030042858760811553
ю_,0.0029903771451733722
_г,0.0029446770293335136
_э,0.0029128856444014376
ма,0.00287811381713198
пе,0.0028314202205129936
ой,0.0028026092779183
ну,0.0027956549124644086
эт,0.0027569091620784415
х_,0.002721143854029856
со,0.0027002807576681814
вы,0.0026943198729934173
ед,0.002685378545981271
сл,0.0026605415265030866
_я,0.0026575610841657045
ми,0.0026247762184545016
ав,0.002603913122092827
_а,0.002533375986774784
ру,0.0025274151021000197
ча,0.002503571563400963
им,0.0024757541015853965
ны,0.002460851889898486
ив,0.0024340279088620473
_л,0.0024340279088620473
нн,0.0023992560815925892
ди,0.0023237515423789098
ик,0.0023177906577041456
оч,0.002268116618747777
хо,0.002246260041606975
_ж,0.002245266560827848
му,0.0021389641174612193
бе,0.002127042348111691
ше,0.0021151205787621626
ей,0.0021141270979830352
ож,0.0020902835592839786
ьн,0.0020684269821431766
тв,0.002064453059026667
ду,0.001972059346567822
уд,0.001964111500334803
ки,0.0019492092886478926
бо,0.0019213918268323263
ая,0.0019104635382619253
ыл,0.0018886069611211231
ис,0.001885626518783741
др,0.001852841653072538
ад,0.0018270111528152265
дн,0.0018101219795700612
ня,0.0017842914793127498
зн,0.0017733631907423488
уж,0.0017614414213928203
ее,0.001738591363472891
сп,0.0017087869400990699
ид,0.0016879238437373953
ар,0.0016859368821791406
са,0.0016839499206208859
ое,0.0016829564398417583
их,0.0016760020743878667
ие,0.0016551389780261922
ят,0.0016511650549096827
ту,0.001619373669977607
аж,0.0016144062660819701
из,0.0016014910159533144
мн,0.0015865888042664038
ум,0.001578640958033385
ут,0.0015587713424508377
ок,0.0015577778616717103
чи,0.0015428756499847997
вн,0.0015398952076474176
_х,0.0015200255920648704
ич,0.0014941950918075588
лу,0.0014663776299919926
ул,0.0014574363029798462
кр,0.0014524688990842094
уг,0.0014385601681764263
лс,0.0014316058027225348
оп,0.00141074270636086
си,0.0013988209370113316
ты,0.0013839187253244212
ще,0.0013570947442879823
ши,0.001345172974938454
св,0.0013441794941593266
еб,0.0013223229170185244
ьк,0.0012885445705281939
бу,0.0012746358396204108
гл,0.0012736423588412835
жи,0.0012468183778048447
ля,0.0012348966084553162
ый,0.00122595528144317
жа,0.0012170139544310237
з_,0.0012060856658606227
нь,0.0011961508580693489
еп,0.0011901899733945847
ае,0.0011852225694989479
ез,0.0011842290887198205
ку,0.0011842290887198205
еч,0.001174294280928547
бр,0.001153431184566872
ек,0.0011444898575547259
см,0.0011047506263896312
гд,0.0011027636648313765
тн,0.0010858744915862113
ия,0.0010819005684697019
ев,0.0010809070876905745
тс,0.0010749462030158103
дь,0.0010679918375619186
г_,0.0010352069718507157
еш,0.0010193112793846777
ус,0.0010054025484768946
ош,0.0009855329328943474
га,0.0009855329328943474
ря,0.0009696372404283094
рь,0.0009587089518579084
сё,0.0009567219902996537
ё_,0.0009457937017292526
ещ,0.0009448002209501253
ий,0.0009308914900423422
ах,0.0009239371245884506
ач,0.0009179762399136864
оз,0.0009070479513432853
дв,0.0008981066243311391
ша,0.0008911522588772475
ай,0.0008871783357607381
аш,0.0008861848549816107
